club,league
Qatar SC,Qatar
Palmeiras,Brazil
UNAM,Mexico
Flamengo,Brazil
Colombe Sportive,Cameroon
Aris,Greece
Hannover 96,Germany
Dynamo Moscow,Russia
Young Boys,Switzerland
Shanghai Shenhua,China
Mechelen,Belgium
Philadelphia Union,United States
Al-Tai,Saudi Arabia
Nantes,France
Udinese,Italy
Coton Sport,Cameroon
Getafe,Spain
Mallorca,Spain
PAOK,Greece
Almería,Spain
Braga,Portugal
Lazio,Italy
Mainz 05,Germany
Lugano,Switzerland
Chicago Fire FC,United States
St. Gallen,Switzerland
Gent,Belgium
Asante Kotoko,Cameroon
Hearts of Oak,Cameroon
Auxerre,France
Eupen,Belgium
Bristol City,England
FC Seoul,South Korea
Jeonbuk Hyundai Motors,South Korea
Shandong Taishan,China
Daegu FC,South Korea
Ulsan Hyundai,South Korea
Gamba Osaka,Japan
Gimcheon Sangmu,South Korea
Daejeon Hana Citizen,South Korea
Vélez Sarsfield,Argentina
Nacional,Uruguay
Independiente,Argentina
Orlando City SC,United States
LA Galaxy,United States
Athletico Paranaense,Brazil
